id;title;fonoteegi_nr;description;eetris;kestus;toimetajad;kategooria;esinejad;url;video
3644;PÄEVAKAJA NR. 17661 kl. 18.;RMARH-24710;"";06.09.2009;00:16:44;Kiisler Indrek;Päevakaja;"Kiisler Indrek, Kase Artur, Šalda Toomas, Uudelepp Agu, Tsahkna Margus, Michal Kristen, Toobal Priit, Vare Kai, Pentus Keit, Randpere Valdo, Eentalu Riina, Paulson Kaidi, Nurk Aili, Oulds Robert, Laidre Margus, Kukk Kadri, Pariis Peeter, Rist Piret, Jaanson Jüri, Mäe Vahur";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17661-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_24710_RMARHIIV.m4a
3645;PÄEVAKAJA NR. 17662 kl. 20.;RMARH-24509;"";07.09.2009;00:12:57;Mälberg Mall;Päevakaja;"Mälberg Mall, Leiten Jüri, Joost Risto, Treier Märt, Järg Raul, Kose Anne, Gaškov Ago, Tamm Kristine, Vilgats Ester, Toom Uku, Siitan Andres, Aleksejev Nikolai, Eentalu Riina";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17662-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_24509_RMARHIIV.m4a
3646;PÄEVAKAJA NR. 17662 kl. 18.;RMARH-24508;"";07.09.2009;00:19:51;Mälberg Mall;Päevakaja;"Mälberg Mall, Tamm Kristine, Vilgats Ester, Leiten Jüri, Joost Risto, Treier Märt, Oopkaup Andres, Kiisler Indrek, Ansip Andrus, Toom Uku, Kullamäe Reno, Nikolajev Jüri, Helme Mart, Karahvin Ain, Karusalu Andre";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17662-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_24508_RMARHIIV.m4a
3647;PÄEVAKAJA NR. 17663 kl. 20.;RMARH-24511;"";08.09.2009;00:12:20;Eentalu Riina;Päevakaja;"Eentalu Riina, Sibul Heiki, Parbus Ivo, Aas Taavi, Salum Madis, Treier Märt, Mägi Reet, Einasto Jaan, Kelt Toomas, Traksmann Harry, Ojakäär Valter, Mälberg Mall";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17663-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_24511_RMARHIIV.m4a
3648;PÄEVAKAJA NR. 17663 kl. 18.;RMARH-24510;"";08.09.2009;00:18:50;Eentalu Riina;Päevakaja;"Eentalu Riina, Sibul Heiki, Frattini Franco, Paet Urmas, Grauberg Martha, Parbus Ivo, Aas Taavi, Salum Madis, Treier Märt, Mägi Reet, Einasto Jaan, Kelt Toomas, Hellerma Kärt, Nõu Helga, Toom Uku, Tamman Tiina";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17663-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_24510_RMARHIIV.m4a
3649;PÄEVAKAJA NR. 17664 kl. 20.;RMARH-24513;"";09.09.2009;00:14:26;Toom Uku;Päevakaja;"Toom Uku, Pevkur Hanno, Kriis Tarmo, Müürsepp Kurmet, Võigemast Jüri, Püss Fred, Leppik Lea, Kelt Toomas, Mühls Peep, Lukas Tõnis, Vare Kai, Aarna Olav, Heidmets Mati, Kaupmees Anu, Lepp Lavly";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17664-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_24513_RMARHIIV.m4a
3650;PÄEVAKAJA NR. 17664 kl. 18.;RMARH-24512;"";09.09.2009;00:21:27;Toom Uku;Päevakaja;"Toom Uku, Pevkur Hanno, Kriis Tarmo, Treier Märt, Taliga Harri, Mühls Peep, Lukas Tõnis, Vare Kai, Eentalu Riina, Must Aadu, Rüütli Karel, Pikhof Heljo, Kelt Toomas, Jäppinen Kaia, Grauberg Martha, Lang Robert, Kaupmees Anu, Aarna Olav, Heidmets Mati, Mardiste Peep, Laurson Peeter";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17664-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_24512_RMARHIIV.m4a
3651;PÄEVAKAJA NR. 17665 kl. 20.;RMARH-24515;"";10.09.2009;00:12:18;Grauberg Martha-Beryl;Päevakaja;"Grauberg Martha-Beryl, Aljas Andrus, Parts Juhan, Kiisler Indrek, Otsmaa Margitta, Veski Anne, Järvesalu Vello, Tiik Simmu, Paris Krister, Soomre Maria-Kristiina, Püss Fred, Ansip Andrus";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17665-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_24515_RMARHIIV.m4a
3652;PÄEVAKAJA NR. 17665 kl. 18.;RMARH-24514;"";10.09.2009;00:20:33;"";Päevakaja;"Grauberg Martha-Beryl, Aljas Andrus, Parts Juhan, Kiisler Indrek, Ansip Andrus, Kisel Einari, Ots Märt, Eentalu Riina, Sulu Tõnis, Mumma Jaanus, Niitlaan Erki, Salm Jüri-Ott, Ehrenpreis Piret, Gertsman Elina, Mänd Anu, Otsmaa Margitta";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17665-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_24514_RMARHIIV.m4a
3653;PÄEVAKAJA NR. 17666 kl. 20.;RMARH-24517;"";11.09.2009;00:13:17;Kiisler Indrek;Päevakaja;"Kiisler Indrek, Grõzlov Boriss, Savisaar Edgar, Kossatšov Konstantin, Žirinovski Vladimir, Paris Krister, Pevkur Hanno, Sule Urmas, Allik Tõnis, Mälberg Mall, Bahovski Erkki, Metspalu Andres, Otsmaa Margitta";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17666-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_24517_RMARHIIV.m4a
3654;PÄEVAKAJA NR. 17666 kl. 18.;RMARH-24516;"";11.09.2009;00:21:18;Kiisler Indrek;Päevakaja;"Kiisler Indrek, Grõzlov Boriss, Savisaar Edgar, Kossatšov Konstantin, Žirinovski Vladimir, Paris Krister, Pevkur Hanno, Sule Urmas, Allik Tõnis, Mälberg Mall, Sibul Heiki, Toom Uku, Bahovski Erkki, Metspalu Andres, Otsmaa Margitta, Raba Rannar, Rist Piret";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17666-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_24516_RMARHIIV.m4a
3655;PÄEVAKAJA NR. 17667 kl. 18.;RMARH-24518;"";12.09.2009;00:13:11;Vare Kai;Päevakaja;"Vare Kai, Ansip Andrus, Kruuse Urmas, Vilgats Ester, Haller Aivar, Kirsmann Enn, Otsmaa Margitta, Pärna Ain, Raud Neeme, Sein Hillar, Sammul Indrek, Rist Piret";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17667-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_24518_RMARHIIV.m4a
3656;PÄEVAKAJA NR. 17668 kl. 18.;RMARH-24519;"";13.09.2009;00:13:37;Otsmaa Margitta;Päevakaja;"Otsmaa Margitta, Mikk Arne, Mäe Aivar, Edur Toomas, Vare Kai, Kaupmees Anu, Paris Krister, Ingi Dagmar, Püss Fred, Seemel Henry, Paas Katrin";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17668-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_24519_RMARHIIV.m4a
3657;PÄEVAKAJA NR. 17669 kl. 20.;RMARH-24565;"";14.09.2009;00:13:07;Mälberg Mall;Päevakaja;"Mälberg Mall, Kallas Siim, Laar Mart, Grauberg Martha, Teder Indrek, Saar Indrek, Toom Uku, Sibul Heiki, Otsmaa Margitta, Hallik Ülle";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17669-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_24565_RMARHIIV.m4a
3658;PÄEVAKAJA NR. 17669 kl. 18.;RMARH-24564;"";14.09.2009;00:19:37;Mälberg Mall;Päevakaja;"Mälberg Mall, Ergma Ene, Ilves Toomas Hendrik, Toom Uku, Kallas Siim, Grauberg Martha, Sibul Heiki, Otsmaa Margitta, Almunia Joaquin, Kiisler Indrek, Treier Märt, Rüütel Kristi, Narusing Ene, Tamm Age";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17669-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_24564_RMARHIIV.m4a
3659;PÄEVAKAJA NR. 17670 kl. 20.;RMARH-24567;"";15.09.2009;00:13:07;Otsmaa Margitta;Päevakaja;"Otsmaa Margitta, Korp Erki, Grauberg Martha, Teder Indrek, Mägioja Evelin, Lainas Kadri, Spolitis Veiko, Lassmann Peep, Raun Eero, Saluveer Aarne, Kiisler Indrek";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17670-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_24567_RMARHIIV.m4a
3660;PÄEVAKAJA NR. 17670 kl. 18.;RMARH-24566;"";15.09.2009;00:18:18;Otsmaa Margitta;Päevakaja;"Otsmaa Margitta, Teder Indrek, Korp Erki, Grauberg Martha, Mägioja Evelin, Lainas Kadri, Spolitis Veiko, Kiisler Indrek, Paet Urmas, Tulik Ülo, Vahtramäe Üllar, Sibul Heiki, Linde Väino, Toom Uku, Lassmann Peep, Raun Eero, Saluveer Aarne";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17670-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_24566_RMARHIIV.m4a
3661;PÄEVAKAJA NR. 17671 kl. 20.;RMARH-24646;"";16.09.2009;00:10:18;Vare Kai;Päevakaja;"Vare Kai, Ligi Jürgen, Aaviksoo Jaak, Kiisler Indrek, Grauberg Martha, Tarand Indrek, Ojuland Kristiina, Otsmaa Margitta, Balder Ain, Laugamets Andras, Barroso Jose Manuel";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17671-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_24646_RMARHIIV.m4a
3662;PÄEVAKAJA NR. 17671 kl. 18.;RMARH-24645;"";16.09.2009;00:20:13;Vare Kai;Päevakaja;"Vare Kai, Ligi Jürgen, Lukas Tõnis, Kiisler Indrek, Tarand Indrek, Ojuland Kristiina, Otsmaa Margitta, Kallaste Ahti, Kokser Ago, Kreismann Kadri, Balder Ain, Laugamets Andras, Ehrenpreis Piret, Västrik Riho, Püss Fred, Verk Leho, Grauberg Martha, Barroso Jose Manuel";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17671-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_24645_RMARHIIV.m4a
3663;PÄEVAKAJA NR. 17672 kl. 20.;RMARH-24648;"";17.09.2009;00:13:14;Mälberg Mall;Päevakaja;"Mälberg Mall, Raud Neeme, Parts Juhan, Tamkivi Jaanus, Vare Kai, Nurm Kaul, Karu Tiia, Treier Märt, Hiis Elari, Vaik Tõnis, Abel Katrin, Omler Eha, Kenk Olev";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17672-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_24648_RMARHIIV.m4a
3664;PÄEVAKAJA NR. 17672 kl. 18.;RMARH-24647;"";17.09.2009;00:18:04;Mälberg Mall;Päevakaja;"Mälberg Mall, Parts Juhan, Tamkivi Jaanus, Vare Kai, Nurm Kaul, Karu Tiia, Treier Märt, Grauberg Martha, Otasa Jaanus, Kukk Jüri, Viisitamm Mart, Šalda Toomas, Tammaru Tiit, Gentle Michael, Kelt Toomas, Kenk Olev, Hiis Elari, Vaik Tõnis, Abel Katrin, Omler Eha";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17672-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_24647_RMARHIIV.m4a
3665;PÄEVAKAJA NR. 17673 kl. 20.;RMARH-24712;"";18.09.2009;00:11:51;Vare Kai;Päevakaja;"Vare Kai, Ligi Jürgen, Otsmaa Margitta, Mälberg Mall, Lätt Hedvig, Kramer David, Volker Kurt, Paet Urmas, Raud Neeme, Kahar Andres, Mikk Merike, Pevkur Hanno, Vohu Silver";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17673-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_24712_RMARHIIV.m4a
3666;PÄEVAKAJA NR. 17673 kl. 18.;RMARH-24711;"";18.09.2009;00:19:11;Vare Kai;Päevakaja;"Vare Kai, Ligi Jürgen, Parts Juhan, Pevkur Hanno, Mikk Merike, Vohu Silver, Mälberg Mall, Soosaar Heily, Lukas Tõnis, Ehrenpreis Piret, Otsmaa Margitta, Ilves Toomas Hendrik, Kelam Tunne, Kukk Triin, Randjärv Liisi Mari, Vares Gunnar, Vilgats Ester";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17673-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_24711_RMARHIIV.m4a
3667;PÄEVAKAJA NR. 17674 kl. 18.;RMARH-24649;"";19.09.2009;00:17:56;Grauberg Martha;Päevakaja;"Grauberg Martha, Linnupõld Loit, Varbola Katri, Püss Fred, Teearu Jaanus, Noormägi Andres, Nikolajev Jüri, Reivelt Kaido, Vaigu Aigar, Ehrenpreis Piret, Toomet Kairi, Veidemann Rein, Mälberg Mall, Juhanson Jaanika, Gaškov Ago";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17674-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_24649_RMARHIIV.m4a
3668;PÄEVAKAJA NR. 17675 kl. 18.;RMARH-24650;"";20.09.2009;00:17:15;Kiisler Indrek;Päevakaja;"Kiisler Indrek, Parts Juhan, Toom Uku, Mald-Villand Ingrid, Sapp Piret, Kõll Hans, Truverk Illimar, Kenk Olev, Savisaar Edgar, Tammiste Tarmo, Peterson Aivo, Nikolajev Jüri, Kukk Kadri, Mesila Tiit";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17675-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_24650_RMARHIIV.m4a
3669;PÄEVAKAJA NR. 17676 kl. 20.;RMARH-24714;"";21.09.2009;00:12:53;Mälberg Mall;Päevakaja;"Mälberg Mall, Rumm Hannes, Ansip Andrus, Toom Uku, Kahar Andres, Karjatse Tõnu, Meriloo Meelis, Savisaar Edgar, Boroditš Deniss, Randma Teet, Kelmsaar Vallo, Apinis Indrek";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17676-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_24714_RMARHIIV.m4a
3670;PÄEVAKAJA NR. 17676 kl. 18.;RMARH-24713;"";21.09.2009;00:19:07;Mälberg Mall;Päevakaja;"Mälberg Mall, Rumm Hannes, Ansip Andrus, Toom Uku, Kahar Andres, Karjatse Tõnu, Vare Kai, Meriloo Meelis, Savisaar Edgar, Boroditš Deniss, Randma Teet, Kelmsaar Vallo, Leppik Külli, Tooma Peeter";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17676-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_24713_RMARHIIV.m4a
3671;PÄEVAKAJA NR. 17677 kl. 20.;RMARH-24787;"";22.09.2009;00:14:06;Kiisler Indrek;Päevakaja;"Kiisler Indrek, Ligi Jürgen, Edström Cecilia, Karjatse Tõnu, Sõerd Aivar, Toom Uku, Kütt Üllar, Kenk Olev, Puusepp Peep, Saarniit Jaak, Lukas Tõnis, Ehrenpreis Piret";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17677-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_24787_RMARHIIV.m4a
3672;PÄEVAKAJA NR. 17677 kl. 18.;RMARH-24786;"";22.09.2009;00:23:49;Kiisler Indrek;Päevakaja;"Kiisler Indrek, Ligi Jürgen, Edström Cecilia, Karjatse Tõnu, Sõerd Aivar, Toom Uku, Sepp Veiko, Noorkõiv Rivo, Kiisler Siim-Valmar, Grauberg Martha, Kütt Üllar, Viitman Luule, Kenk Olev, Laar Mart, Viik Linnar, Tolmann Birgit, Otsmaa Margitta, Kõresaar Andrus, Dresen Urmas";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17677-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_24786_RMARHIIV.m4a
3673;PÄEVAKAJA NR. 17678 kl. 20.;RMARH-24789;"";23.09.2009;00:13:32;Kelmsaar Vallo;Päevakaja;"Kelmsaar Vallo, Radiko Karin, Parts Juhan, Eentalu Riina, Kukk Kadri, Saar Andrus, Mälberg Mall, Raud Neeme, Obama Barack";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17678-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_24789_RMARHIIV.m4a
3674;PÄEVAKAJA NR. 17678 kl. 18.;RMARH-24788;"";23.09.2009;00:19:53;Kelmsaar Vallo;Päevakaja;"Kelmsaar Vallo, Radiko Karin, Parts Juhan, Eentalu Riina, Kukk Kadri, Vildo Siret, Saar Andrus, Mälberg Mall, Allik Regina, Tigas Ene, Saar Eva, Kelt Toomas, Grauberg Martha-Beryl";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17678-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_24788_RMARHIIV.m4a
3675;PÄEVAKAJA NR. 17679 kl. 18.;RMARH-24912;"";24.09.2009;00:21:26;Eentalu Riina;Päevakaja;"Eentalu Riina, Mikser Sven, Lang Rein, Toom Uku, Ligi Jürgen, Otsmaa Margitta, Savisaar Edgar, Rõivas Taavi, Kelmsaar Vallo, Petti Kalev, Treier Märt, Sõber Riho, Naaris Neeme, Kalvi Janek, Namie Keiko, Sutrop Urmas, Langemets Margit, Kiisler Indrek";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17679-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_24912_RMARHIIV.m4a
3676;PÄEVAKAJA NR. 17680 kl. 20.;RMARH-24914;"";25.09.2009;00:13:19;Grauberg Martha-Beryl;Päevakaja;"Grauberg Martha-Beryl, Sõrra Jaan, Karu Tiia, Kiisler Indrek, Raud Neeme, Arula Aimar, Kenk Olev, Tannik Kristel, Sild Tiiu, Kelt Toomas, Tikerpalu Mihkel, Pulk Liisa, Üksküla Kristjan, Ilves Toomas Hendrik";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17680-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_24914_RMARHIIV.m4a
3677;PÄEVAKAJA NR. 17680 kl. 18.;RMARH-24913;"";25.09.2009;00:20:49;Grauberg Martha-Beryl;Päevakaja;"Grauberg Martha-Beryl, Sõrra Jaan, Karu Tiia, Kiisler Indrek, Holsmer Remo, Jäppinen Kaia, Kalda Ruth, Hallik Ülle, Gurjanova Ilona, Maimets Andri, Leht Anneliis, Ringkjob Kristi, Tannik Kristel, Sild Tiiu, Kelt Toomas";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17680-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_24913_RMARHIIV.m4a
3678;PÄEVAKAJA NR. 17681 kl. 18.;RMARH-24989;"";26.09.2009;00:14:56;Vare Kai;Päevakaja;"Vare Kai, Raichmann Arthur, Schumacher Guido, Grahn Göran, Karjatse Tõnu, Neimann Piret, Ojamäe Malle, Kalmet Madis, Laurimaa Piret, Seeman Sepo, Hallik Ülle, Noormägi Avo, Karlson Aili, Saar Eha, Tegelman Arne, Kelt Toomas, Vilu Aime, Ardel Tiina, Kannimäe Urve, Rist Piret";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17681-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_24989_RMARHIIV.m4a
3679;PÄEVAKAJA NR. 17682 kl. 18.;RMARH-24990;"";27.09.2009;00:14:57;Karjatse Tõnu;Päevakaja;"Karjatse Tõnu, Sepp Evelyn, Linde Väino, Raudsepp Märt, Grauberg Martha, Kallas Siim, Goldsmith Jonathan, Hoedeman Olivier, Kukk Kadri, Alandi Arni, Sakkov Elmar, Mikheim Ly, Mäe Vahur, Šalda Toomas";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17682-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_24990_RMARHIIV.m4a
3680;PÄEVAKAJA NR. 17683 kl. 20.;RMARH-24992;"";28.09.2009;00:13:23;Mälberg Mall;Päevakaja;"Mälberg Mall, Nestor Eiki, Rüütli Karel, Simson Kadri, Strandberg Marek, Tsahkna Margus, Toom Uku, Tammsalu Jaan, Raudsepp Märt, Männik Priit, Kelmsaar Vallo, Grauberg Martha, Tohver Tamur, Simson Piret, Rämmeld Meelis, Vare Kai";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17683-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_24992_RMARHIIV.m4a
3681;PÄEVAKAJA NR. 17683 kl. 18.;RMARH-24991;"";28.09.2009;00:20:11;Mälberg Mall;Päevakaja;"Mälberg Mall, Nestor Eiki, Rüütli Karel, Simson Kadri, Strandberg Marek, Tsahkna Margus, Toom Uku, Tammsalu Jaan, Raudsepp Märt, Männik Priit, Kelmsaar Vallo, Kasekamp Andres, Kiisler Indrek, Kaupmees Anu, Tohver Tamur, Simson Piret, Rämmeld Meelis, Vare Kai";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17683-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_24991_RMARHIIV.m4a
3682;PÄEVAKAJA NR. 17684 kl. 18.;RMARH-25048;"";29.09.2009;00:21:53;Kelmsaar Vallo;Päevakaja;"Kelmsaar Vallo, Maasik Kadri, Ligi Jürgen, Paet Urmas, Eesmaa Enn, Toom Uku, Linde Väino, Ots Märt, Omri Kristiina, Rüütel Dagmar, Sibul Heiki, Heinsalu Alo, Grauberg Martha, Kirst Kaido, Luks Tiina, Tänak Ülar, Muld Margus";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17684-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_25048_RMARHIIV.m4a
3683;PÄEVAKAJA NR. 17684 kl. 20.;RMARH-25049;"";29.09.2009;00:13:16;Kelmsaar Vallo;Päevakaja;"Kelmsaar Vallo, Maasik Kadri, Ligi Jürgen, Kiil Andres, Lember Andres, Grauberg Martha, Püss Fred, Mets Jane, Vilgats Ester, Müürsepp Tiiu, Peterson Ella, Lukas Jaan, Nimis Piere Luigi, Randlane Tiina";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17684-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_25049_RMARHIIV.m4a
3684;PÄEVAKAJA NR. 17685 kl. 18.;RMARH-25050;"";30.09.2009;00:22:37;Grauberg Martha-Beryl;Päevakaja;"Grauberg Martha-Beryl, Ansip Andrus, Mänd Tarmo, Nestor Eiki, Simson Kadri, Toom Uku, Lang Rein, Paet Urmas, Semneby Peter, Nekrassov Andrei, Samadašvili Salome, Kiisler Indrek, Kukk Kadri, Savisaar Edgar, Birjukov Pjotr, Issakov Vladimir, Kelmsaar Vallo, Lukas Tõnis, Loot Ardi, Truu Ahto, Mäeorg Uno, Kelt Toomas, Morgen Niida-Anita, Sonts Toomas, Hallik Ülle";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17685-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_25050_RMARHIIV.m4a
3685;PÄEVAKAJA NR. 17685 kl. 20.;RMARH-25051;"";30.09.2009;00:14:14;Grauberg Martha-Beryl;Päevakaja;"Grauberg Martha-Beryl, Ansip Andrus, Nestor Eiki, Simson Kadri, Toom Uku, Samadašvili Salome, Kiisler Indrek, Paris Krister, Kukk Kadri, Jalonen Kadri, Bachmann Tarmo, Gaškov Ago, Morgen Niida-Anita, Sonts Toomas, Hallik Ülle";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17685-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_25051_RMARHIIV.m4a
3686;Päevakaja: PÄEVAKAJA NR. 17686 kl. 20;RMARH-25053;"";01.10.2009;00:13:05;Toom Uku;Päevakaja;"Toom Uku, Lee Urmet, Aav Enriko, Karjatse Tõnu, Parts Juhan, Kiisler Indrek, Rüütel Dagmar, Otsmaa Margitta, Sumera Kadri-Ann, Sarv Veli, Gaškov Ago";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17686-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_25053_RMARHIIV.m4a
3687;PÄEVAKAJA NR. 17686 kl. 18.;RMARH-25052;"";01.10.2009;00:21:08;Toom Uku;Päevakaja;"Toom Uku, Parts Juhan, Otsmaa Margitta, Teder Indrek, Sepp Evelyn, Strandberg Marek, Linde Väino, Kelmsaar Vallo, Kiisler Indrek, Nõmm Andre, Tali Veiko, Kirm Marco, Kink Ilmar, Ehrenpreis Piret, Varik Joonas, Lepp Harri, Rist Piret, Karuse Allain, Vilgats Ester";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17686-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_25052_RMARHIIV.m4a
3688;PÄEVAKAJA NR. 17688 kl. 18.;RMARH-25066;"";03.10.2009;00:17:13;Kelmsaar Vallo;Päevakaja;"Kelmsaar Vallo, Padar Ivari, O'Broin Peadar, Kukk Kadri, Tõnismann Tiina, Ristikivi Aare, Rondik Sven, Ehrenpreis Piret, Vendla Rein, Talu Vambo, Šalda Toomas, Lilleorg Priit, Nemvalts Siim, Vilgats Ester, Savi Tõnis, Otsmaa Margitta";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17688-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_25066_RMARHIIV.m4a
3689;PÄEVAKAJA NR. 17689 kl. 18.;RMARH-25067;"";04.10.2009;00:17:23;Otsmaa Margitta;Päevakaja;"Otsmaa Margitta, Liimal Pille, Mälberg Mall, Kuum Leev, Parts Juhan, Grauberg Martha, Hall Keith, Raud Neeme, Koppel Anari, Liiske Marge, Vare Kai, Sinisalo Hannu, Soosaar Mark, Vlassov Jüri, Hallik Ülle, Tõnso Aivar, Tormis Veljo, Karjatse Tõnu, Sarve Henn, Valker Tarvo, Lauri Urmas";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17689-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_25067_RMARHIIV.m4a
3690;PÄEVAKAJA NR. 17690 kl. 20.;RMARH-25125;"";05.10.2009;00:11:53;Mälberg Mall;Päevakaja;"Mälberg Mall, Jänes Laine, Zeleznjova Jekaterina, Paris Krister, Parts Juhan, Toom Uku, Karja Sven, Karjatse Tõnu";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17690-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_25125_RMARHIIV.m4a
3691;Päevakaja: PÄEVAKAJA NR. 17690 kl. 18.;RMARH-25124;"";05.10.2009;00:19:48;Mälberg Mall;Päevakaja;"Mälberg Mall, Aaviksoo Ain, Kiisler Indrek, Parts Juhan, Jänes Laine, Zeleznjova Jekaterina, Paris Krister, Toom Uku, Zilmer Kai, Karjatse Tõnu, Jürissaar Meelike";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17690-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_25124_RMARHIIV.m4a
